product_id,product_name,price,stock_quantity,source_system,created_at
1,"Smart TV 43"" Deluxe",2786.54,114,CSV,2025-12-08T10:54:29.189435
2,"Smart TV 43"" Value",4248.12,15,CSV,2025-12-08T10:54:29.189615
3,Basmati Rice 5kg Value,6040.09,287,CSV,2025-12-08T10:54:29.189618
4,Juice 1L Pro,4519.63,142,CSV,2025-12-08T10:54:29.189620
5,Milk 1L 2024 Edition,2814.82,110,API,2025-12-08T10:54:29.189623
6,"Smart TV 43"" Limited",1012.33,433,API,2025-12-08T10:54:29.189625
7,Tusker Lager 500ml Mini,482.33,235,CSV,2025-12-08T10:54:29.189627
8,Kitenge Dress Value,2967.12,321,API,2025-12-08T10:54:29.189633
9,Mineral Water 1L Deluxe,742.07,338,CSV,2025-12-08T10:54:29.189636
10,Dining Table Mini,2366.27,51,API,2025-12-08T10:54:29.189638
11,Coffee Table Deluxe,8349.4,83,API,2025-12-08T10:54:29.189639
12,Office Chair Deluxe,2706.43,479,CSV,2025-12-08T10:54:29.189641
13,Mineral Water 1L Value,7304.81,83,API,2025-12-08T10:54:29.189643
14,School Uniform Deluxe,6897.21,112,API,2025-12-08T10:54:29.189645
15,Smartphone Model X Mini,369.4,161,API,2025-12-08T10:54:29.189646
16,Dining Table Pro,9135.7,290,API,2025-12-08T10:54:29.189648
17,Milk 1L Limited,8852.6,329,API,2025-12-08T10:54:29.189650
18,Sugar 2kg Pro,2503.94,287,API,2025-12-08T10:54:29.189651
19,Juice 1L Value,4024.04,112,CSV,2025-12-08T10:54:29.189653
20,Juice 1L Classic,7570.03,440,CSV,2025-12-08T10:54:29.189655
21,Basmati Rice 5kg Mini,6820.79,305,CSV,2025-12-08T10:54:29.189656
22,Sports Jersey Value,9961.41,270,API,2025-12-08T10:54:29.189658
23,Coca-Cola 500ml Deluxe,7221.18,349,API,2025-12-08T10:54:29.189659
24,Dining Table 2024 Edition,4375.91,232,CSV,2025-12-08T10:54:29.189661
25,Office Chair Value,9130.65,445,API,2025-12-08T10:54:29.189663
26,Mineral Water 1L Pro,3770.44,82,CSV,2025-12-08T10:54:29.189665
